utc_time,x_error (m),y_error  (m),z_error (m),satclockerror (m)
9/1/2025 14:00,-0.765883333,0.671543743,0.434251402,-0.183988567
9/1/2025 15:00,-0.568186091,0.392190874,0.63784356,-0.159422194
9/1/2025 16:00,-0.535862128,0.17431926,0.723322887,0.035761103
9/1/2025 17:00,-0.641199774,-0.205228955,0.718194996,-0.077574236
9/1/2025 18:00,-0.638888152,-0.396329347,0.475825153,0.161143483
9/1/2025 19:00,-0.77436263,-0.474094689,0.207774427,0.13862766
9/1/2025 20:00,-0.837601373,-0.584908968,-0.216711007,-0.060440918
9/2/2025 17:00,-0.335357651,0.60487498,0.674362661,-0.034781471
9/2/2025 18:00,-0.412536055,0.306909334,0.719623885,-0.302436957
9/2/2025 19:00,-0.702044664,0.075185154,0.676095143,-0.314214604
9/2/2025 20:00,-0.775892772,-0.037073866,0.430691566,0.475854393
9/2/2025 21:00,-0.89035907,-0.0501773,0.154487155,0.104091569
9/2/2025 22:00,-1.058336398,-0.200725934,-0.358076125,0.008388643
9/2/2025 23:00,-0.839232033,-0.254772935,-0.675063701,-0.101061387
9/3/2025 19:00,-0.03383898,0.690224383,0.73809742,-0.353027114
9/3/2025 20:00,-0.331164595,0.460334195,0.754296971,-0.111867706
9/3/2025 21:00,-0.624093685,0.323578008,0.595941585,0.037838455
9/3/2025 22:00,-0.701466771,0.318061659,0.393948879,0.234829681
9/3/2025 23:00,-0.831473549,0.344608024,0.078566089,0.173892457
9/4/2025 0:00,-0.967762081,0.272608705,-0.46438418,0.115396922
9/4/2025 1:00,-0.856967132,0.126926705,-0.764487924,-0.097418698
9/4/2025 2:00,-0.663020635,-0.150727611,-0.862879188,-0.210255003
9/4/2025 23:00,-0.45314458,0.637766904,0.575132627,0.007187674
9/5/2025 0:00,-0.517121889,0.632788374,0.33881541,0.313628899
9/5/2025 1:00,-0.656200007,0.738374509,-0.022809725,0.112118632
9/5/2025 2:00,-0.522071518,0.627076853,-0.604027957,0.102014217
9/5/2025 3:00,-0.692386397,0.468869142,-0.794989448,-0.042943231
9/5/2025 4:00,-0.579470006,0.072540816,-0.867343003,-0.245654497
9/5/2025 5:00,-0.637818535,-0.19533556,-0.761436984,-0.034174481
9/6/2025 2:00,0.015509419,0.791806834,0.168363828,0.03017576
9/6/2025 3:00,-0.182978673,0.941149336,-0.167576488,0.089507895
9/6/2025 4:00,-0.425624019,0.899042258,-0.642716128,0.421244199
9/6/2025 5:00,-0.356931278,0.633680437,-0.822042739,0.187504803
9/6/2025 6:00,-0.615293259,0.270688187,-0.848775506,-0.055961629
9/6/2025 7:00,-0.692854449,0.059949629,-0.733184973,-0.179266626
9/6/2025 14:00,0.007015683,-0.812115097,0.457226757,0.787286953
9/7/2025 6:00,0.054012448,0.852508137,-0.660408268,0.116233553
9/7/2025 7:00,-0.10590212,0.721942117,-0.831064874,-0.709572473
9/7/2025 8:00,-0.487995785,0.417763898,-0.787376485,0.073952863
9/7/2025 9:00,-0.666461468,0.342724778,-0.65810753,-0.017972708
9/7/2025 11:47,-2.270492186,0.943558877,0.038751304,0.078469207
9/7/2025 12:00,-0.934727645,0.215925608,0.565364603,1.576007273
9/7/2025 13:00,-0.760390978,0.050845519,0.76846572,-0.04271362
9/7/2025 14:00,-0.494502604,-0.202973183,0.799759143,-0.730752601
9/7/2025 15:00,-0.457619769,-0.498454589,0.726807801,0.232752299
9/7/2025 16:00,-0.362948108,-0.790320568,0.422599971,0.265575346
9/1/2025 14:00,-0.765883333,0.671543743,0.434251402,-0.183988567
9/1/2025 15:00,-0.568186091,0.392190874,0.63784356,-0.159422194
9/1/2025 16:00,-0.535862128,0.17431926,0.723322887,0.035761103
9/1/2025 17:00,-0.641199774,-0.205228955,0.718194996,-0.077574236
9/1/2025 18:00,-0.638888152,-0.396329347,0.475825153,0.161143483
9/1/2025 19:00,-0.77436263,-0.474094689,0.207774427,0.13862766
9/1/2025 20:00,-0.837601373,-0.584908968,-0.216711007,-0.060440918
9/2/2025 17:00,-0.335357651,0.60487498,0.674362661,-0.034781471
9/2/2025 18:00,-0.412536055,0.306909334,0.719623885,-0.302436957
9/2/2025 19:00,-0.702044664,0.075185154,0.676095143,-0.314214604
9/2/2025 20:00,-0.775892772,-0.037073866,0.430691566,0.475854393
9/2/2025 21:00,-0.89035907,-0.0501773,0.154487155,0.104091569
9/2/2025 22:00,-1.058336398,-0.200725934,-0.358076125,0.008388643
9/2/2025 23:00,-0.839232033,-0.254772935,-0.675063701,-0.101061387
9/3/2025 19:00,-0.03383898,0.690224383,0.73809742,-0.353027114
9/3/2025 20:00,-0.331164595,0.460334195,0.754296971,-0.111867706
9/3/2025 21:00,-0.624093685,0.323578008,0.595941585,0.037838455
9/3/2025 22:00,-0.701466771,0.318061659,0.393948879,0.234829681
9/3/2025 23:00,-0.831473549,0.344608024,0.078566089,0.173892457
9/4/2025 0:00,-0.967762081,0.272608705,-0.46438418,0.115396922
9/4/2025 1:00,-0.856967132,0.126926705,-0.764487924,-0.097418698
9/4/2025 2:00,-0.663020635,-0.150727611,-0.862879188,-0.210255003
9/4/2025 23:00,-0.45314458,0.637766904,0.575132627,0.007187674
9/5/2025 0:00,-0.517121889,0.632788374,0.33881541,0.313628899
9/5/2025 1:00,-0.656200007,0.738374509,-0.022809725,0.112118632
9/5/2025 2:00,-0.522071518,0.627076853,-0.604027957,0.102014217
9/5/2025 3:00,-0.692386397,0.468869142,-0.794989448,-0.042943231
9/5/2025 4:00,-0.579470006,0.072540816,-0.867343003,-0.245654497
9/5/2025 5:00,-0.637818535,-0.19533556,-0.761436984,-0.034174481
9/6/2025 2:00,0.015509419,0.791806834,0.168363828,0.03017576
9/6/2025 3:00,-0.182978673,0.941149336,-0.167576488,0.089507895
9/6/2025 4:00,-0.425624019,0.899042258,-0.642716128,0.421244199
9/6/2025 5:00,-0.356931278,0.633680437,-0.822042739,0.187504803
9/6/2025 6:00,-0.615293259,0.270688187,-0.848775506,-0.055961629
9/6/2025 7:00,-0.692854449,0.059949629,-0.733184973,-0.179266626
9/6/2025 14:00,0.007015683,-0.812115097,0.457226757,0.787286953
9/7/2025 6:00,0.054012448,0.852508137,-0.660408268,0.116233553
9/7/2025 7:00,-0.10590212,0.721942117,-0.831064874,-0.709572473
9/7/2025 8:00,-0.487995785,0.417763898,-0.787376485,0.073952863
9/7/2025 12:00,-0.934727645,0.215925608,0.565364603,1.576007273
9/7/2025 13:00,-0.760390978,0.050845519,0.76846572,-0.04271362
9/7/2025 14:00,-0.494502604,-0.202973183,0.799759143,-0.730752601
9/7/2025 15:00,-0.457619769,-0.498454589,0.726807801,0.232752299
9/7/2025 16:00,-0.362948108,-0.790320568,0.422599971,0.265575346
