utc_time,x_error (m),y_error (m),z_error (m),satclockerror (m),y_error  (m)
9/1/2025 6:00,5.333443295,4.530495398,-2.600099377,1.280427199,
9/1/2025 8:00,0.222901016,0.177055545,-0.008266572,-3.609894102,
9/1/2025 10:00,0.542796493,1.124622118,6.286750954,-0.419838532,
9/1/2025 12:00,0.164463989,0.0138545,0.007338061,-0.31827853,
9/1/2025 14:00,-0.838447601,-0.667824946,0.676120792,1.428765496,
9/1/2025 16:02,3.265259974,3.22020632,-1.841377388,3.561049187,
9/1/2025 18:01,1.619965438,1.796478879,-5.291095719,3.763953399,
9/1/2025 20:01,0.384159472,0.298458889,-3.910451962,0.717759865,
9/1/2025 22:01,-1.099594984,-0.967696972,-0.104338964,-0.856116843,
9/2/2025 0:01,-3.10976512,-2.492300574,2.454867034,0.895619206,
9/2/2025 2:01,-0.85310689,-0.386050213,1.874654543,-0.538655786,
9/2/2025 4:01,1.32171309,1.249636855,-0.775793605,1.170346526,
9/2/2025 6:01,3.483760633,3.448647413,-0.987210925,1.868355195,
9/2/2025 8:01,0.273076005,0.15247659,-0.071825116,-4.104998649,
9/2/2025 10:01,-0.310550153,-0.250788011,-0.01282819,-0.948724472,
9/2/2025 12:01,-0.039906677,-0.147916846,0.149786265,0.375253997,
9/2/2025 14:01,4.817265898,5.197030567,9.659201975,0.861621962,
9/2/2025 16:01,-0.691231996,-0.752820715,-1.361456705,3.273109174,
9/2/2025 18:01,1.168112252,1.07293383,-3.993206457,3.196809865,
9/2/2025 20:01,-0.451491643,-0.500114165,-1.572240522,0.641460586,
9/2/2025 22:01,0.801459923,0.825610504,2.145238337,-1.596643487,
9/3/2025 0:01,1.28482075,1.633254424,3.061740684,-1.10153897,
9/3/2025 2:01,1.600453828,1.689039234,1.602150845,-1.346745188,
9/3/2025 4:01,0.685081728,1.425023131,-0.109538527,2.494324935,
9/3/2025 6:01,2.282976411,2.453653768,-1.804687164,3.226115057,
9/3/2025 7:50,1.802047715,1.723018248,0.127941333,-5.684223234,
9/3/2025 8:11,-0.169225954,-1.436892197,-0.472263408,-0.877388407,
9/3/2025 8:25,-1.10003984,-0.815805573,0.457262781,0.183785608,
9/3/2025 8:40,0.08827807,-0.103566945,0.427094062,-0.266106398,
9/3/2025 8:55,-0.213135459,-0.353847157,-0.467816517,0.027285101,
9/3/2025 9:11,0.139093529,0.021653887,-2.238380639,-0.002157456,
9/3/2025 9:25,-2.12765542,-1.471064188,3.538109067,0.013097063,
9/3/2025 9:51,-1.782917004,-1.794622999,-3.472769056,0.059465753,
9/3/2025 9:55,0.189113814,0.404830419,0.433967886,-0.031616173,
9/3/2025 10:10,-2.414123408,-1.709124576,-0.042287993,0.152698809,
9/3/2025 10:25,-1.139717549,-0.784878902,-0.788910913,0.152698809,
9/3/2025 10:40,-0.989945177,-0.879231654,0.064290363,-0.049076535,
9/3/2025 10:55,-0.033485472,0.087050788,0.058601988,0.078534921,
9/3/2025 11:10,6.714422453,5.886779267,10.81891421,-1.103716873,
9/3/2025 11:25,-2.092337634,-1.452630259,-0.883779709,0.230126956,
9/3/2025 11:40,0.597511485,0.454625659,0.574959028,-0.017989736,
9/3/2025 11:56,0.258106098,0.527340513,0.959097091,0.26941233,
9/3/2025 12:10,-1.156102259,-1.003954992,-0.574481407,-0.033794614,
9/3/2025 12:25,0.97350508,0.731687136,-0.465981476,0.105807101,
9/3/2025 12:40,-1.174213734,-0.842248604,0.419547307,0.105807101,
9/3/2025 12:55,0.458125912,0.310934536,-0.154250738,0.151609723,
9/3/2025 13:10,-5.621142864,-5.192379687,-0.562139402,0.5088074,
9/3/2025 13:25,-0.018692568,-0.143080782,-0.010322493,0.074720332,
9/3/2025 13:40,0.356143791,0.122856393,0.435671116,-0.173946749,
9/3/2025 14:00,-1.545576122,-1.451378983,-1.057287716,0.19088907,
9/3/2025 16:00,-2.977734089,-2.661322154,-1.432459529,3.340671961,
9/3/2025 18:00,-1.244536225,-1.172715083,-4.453501031,3.437755761,
9/3/2025 20:00,1.97375378,1.644614056,-1.794176658,0.184397754,
9/3/2025 22:00,1.833995398,1.929840274,2.350237415,-1.249661387,
9/4/2025 0:00,2.64533034,2.943842776,3.965113758,-2.400472567,
9/4/2025 2:00,-0.722049899,-0.053910244,2.828218274,-0.441571956,
9/4/2025 4:00,-0.856261648,1.092148282,0.171570717,3.154291919,
9/4/2025 6:00,0.287703101,0.527688224,-2.334320748,2.697229117,
9/4/2025 8:00,0.008221291,-0.042935118,0.009639807,-5.230549136,
9/4/2025 10:00,10.02647229,8.540781338,1.275702608,-5.408408447,
9/4/2025 12:00,-0.832425859,-0.529566556,3.136938728,1.589151733,
9/4/2025 14:00,-4.049717102,-3.776607096,0.273805877,2.53258253,
9/4/2025 16:00,-3.317581486,-2.779847827,-2.080443762,3.437755761,
9/4/2025 18:00,0.543888971,0.494111735,-4.937305795,3.60687852,
9/4/2025 20:00,3.936180905,3.607647866,-1.9515022,-0.171105016,
9/4/2025 22:00,1.099103592,1.129962713,2.910649365,-2.828014326,
9/5/2025 0:00,0.379871171,0.624769423,2.785508084,-1.427520728,
9/5/2025 2:00,3.726228692,3.891447306,2.653838237,-0.061024344,
9/5/2025 4:00,0.088359974,-0.056281067,-0.062324861,1.12356823,
9/5/2025 6:00,-4.694847863,-4.042989593,0.436600814,1.465858277,
9/5/2025 8:00,-0.190358367,-0.105879877,0.009774428,-4.325375905,
9/5/2025 10:00,0.060726993,-0.048400804,-0.007805559,-2.650154986,
